file_name,x_cat,x_sub,BDFE_cat,BDFE_sub,d,gibbs_2,Vbur_cat,Vbur_sub_jiaozun,x2,d2,gibbs_3,rxn,Vbur_sub,rxnbieren,d044,d056,gibbs,ref,exp-k,exp-barrier
K39-P1-c1-1Osp.out,6.0 ,3.4 ,94.6 ,77.1 ,1.0 ,9.3 ,34.2 ,28.3 ,6.6 ,0.0 ,13.3 ,-17.6 ,28.2 ,-15.1 ,0.4 ,0.6 ,13.5 ,58,0.91,9.3
K40-P1-c1-1Osp.out,6.0 ,3.0 ,94.6 ,83.0 ,0.0 ,8.7 ,34.2 ,18.7 ,9.1 ,1.0 ,12.7 ,-11.6 ,22.7 ,-14.1 ,0.0 ,1.0 ,12.9 ,58,2.66,8.7
K41-P1-c1-1Osp.out,6.0 ,3.5 ,94.6 ,88.6 ,0.0 ,9.8 ,34.2 ,25.2 ,6.3 ,1.0 ,13.8 ,-6.0 ,30.4 ,-16.4 ,0.0 ,1.0 ,14.0 ,58,0.42,9.8
K42-P1-c1-1Osp.out,6.0 ,2.6 ,94.6 ,79.8 ,0.0 ,7.5 ,34.2 ,19.3 ,11.6 ,1.0 ,11.5 ,-14.8 ,23.0 ,-12.6 ,0.0 ,1.0 ,11.7 ,58,21,7.5
K43-P1-c2-1Osp.out,6.0 ,3.1 ,94.6 ,84.7 ,0.0 ,9.5 ,34.2 ,25.4 ,8.5 ,1.0 ,13.5 ,-9.9 ,31.5 ,-14.2 ,0.0 ,1.0 ,13.7 ,58,0.69,9.5


K50-P1-c1-1Osp.out,6.0 ,2.6 ,94.6 ,80.6 ,0.0 ,6.5 ,34.2 ,18.2 ,11.7 ,1.0 ,10.5 ,-14.0 ,22.7 ,-12.6 ,0.0 ,1.0 ,10.7 ,59,101,6.5
K52-P1-c1-1Osp.out,6.0 ,2.6 ,94.6 ,81.1 ,0.0 ,6.4 ,34.2 ,33.7 ,11.8 ,1.0 ,10.4 ,-13.5 ,24.8 ,-12.7 ,0.0 ,1.0 ,10.6 ,59,127,6.4
K54-P1-c1-1Osp.out,6.0 ,2.8 ,94.6 ,81.2 ,0.0 ,7.9 ,34.2 ,15.0 ,10.2 ,0.0 ,11.9 ,-13.4 ,21.8 ,-12.9 ,0.0 ,1.0 ,12.1 ,59,9.6,7.9


K59-P1-c1-1Osp.out,6.0 ,2.5 ,94.6 ,80.8 ,0.0 ,6.4 ,34.2 ,13.2 ,12.3 ,1.0 ,10.4 ,-13.8 ,16.5 ,-12.4 ,0.0 ,1.0 ,10.6 ,60,124,6.4
K60-P1-c1-1Osp.out,6.0 ,2.5 ,94.6 ,80.2 ,0.0 ,6.1 ,34.2 ,16.4 ,12.5 ,1.0 ,10.1 ,-14.5 ,21.5 ,-12.2 ,0.0 ,1.0 ,10.3 ,60,191,6.1

K62-P1-c1-1Osp.out,6.0 ,2.7 ,94.6 ,80.9 ,0.0 ,6.5 ,34.2 ,16.2 ,10.9 ,1.0 ,10.5 ,-13.7 ,20.9 ,-12.5 ,0.0 ,1.0 ,10.7 ,60,107,6.5
K63-P1-c1-1Osp.out,6.0 ,2.6 ,94.6 ,81.1 ,0.0 ,6.4 ,34.2 ,19.4 ,11.3 ,1.0 ,10.4 ,-13.5 ,23.2 ,-12.7 ,0.0 ,1.0 ,10.6 ,60,122,6.4
K64-P1-c1-1Osp.out,6.0 ,2.5 ,94.6 ,81.0 ,0.0 ,6.4 ,34.2 ,28.2 ,12.5 ,1.0 ,10.4 ,-13.6 ,27.5 ,-12.3 ,0.0 ,1.0 ,10.6 ,60,126,6.4

K68-P1-c1-1Osp.out,6.0 ,2.7 ,94.6 ,81.6 ,0.0 ,6.1 ,34.2 ,15.3 ,10.7 ,1.0 ,10.1 ,-13.0 ,20.1 ,-12.4 ,0.0 ,1.0 ,10.3 ,60,226,6.1
K69-P1-c1-1Osp.out,6.0 ,2.7 ,94.6 ,81.8 ,0.0 ,6.4 ,34.2 ,21.2 ,11.1 ,1.0 ,10.4 ,-12.8 ,23.6 ,-12.5 ,0.0 ,1.0 ,10.6 ,60,116,6.4

K83-P1-c1-1Osp.out,6.0 ,4.4 ,94.6 ,73.9 ,1.0 ,9.8 ,34.2 ,17.8 ,2.4 ,1.0 ,13.8 ,-20.7 ,22.6 ,-17.2 ,0.4 ,0.6 ,14.0 ,62,0.396,9.8
K84-P1-c1-1Osp.out,6.0 ,4.1 ,94.6 ,72.7 ,1.0 ,10.0 ,34.2 ,20.6 ,3.6 ,1.0 ,14.0 ,-21.9 ,27.8 ,-16.3 ,0.4 ,0.6 ,14.2 ,62,0.276,10
K85-P1-c2-1Osp.out,6.0 ,4.1 ,94.6 ,77.3 ,1.0 ,10.2 ,34.2 ,26.9 ,3.7 ,1.0 ,14.2 ,-17.3 ,34.2 ,-16.6 ,0.4 ,0.6 ,14.4 ,62,0.199,10.2
K86-P1-c1-1Osp.out,6.0 ,4.1 ,94.6 ,72.3 ,1.0 ,9.9 ,34.2 ,26.1 ,3.7 ,1.0 ,13.9 ,-22.3 ,31.5 ,-16.4 ,0.4 ,0.6 ,14.1 ,62,0.33,9.9
K87-P1-c1-1Osp.out,6.0 ,4.1 ,94.6 ,72.8 ,1.0 ,9.6 ,34.2 ,29.3 ,3.6 ,1.0 ,13.6 ,-21.9 ,38.1 ,-16.6 ,0.4 ,0.6 ,13.8 ,62,0.59,9.6

K89-P1-c1-1Osp.out,6.0 ,3.1 ,94.6 ,83.1 ,0.0 ,8.7 ,34.2 ,17.2 ,8.2 ,1.0 ,12.7 ,-11.5 ,21.1 ,-14.5 ,0.0 ,1.0 ,12.9 ,63,2.49,8.7
