x_cat,x_sub,BDFE_cat,BDFE_sub,d,Vbur_cat,Vbur_sub,gibbs
6.899690543,4.803156459,92.82504426,95.96205768,0,22.5,14.1,18.81839739
6.899690543,3.870480283,92.82504426,90.48365887,0,22.5,16.8,16.17595278
6.899690543,3.408487229,92.82504426,86.74034585,0,22.5,22.6,14.56262457
6.899690543,3.184642742,92.82504426,84.72060577,0,22.5,27.8,11.87311671
6.899690543,3.899030906,92.82504426,90.4087963,0,22.5,23.7,17.12349288
6.899690543,3.645434304,92.82504426,88.18438693,0,22.5,24.3,15.87098292
6.899690543,3.837429534,92.82504426,88.35205007,0,22.5,24.4,16.03162548
6.899690543,3.722181133,92.82504426,87.20628395,0,22.5,22.7,14.75715267
6.899690543,4.171343127,92.82504426,91.73287817,0,22.5,16.9,17.06387943
6.899690543,3.04732844,92.82504426,84.39409475,0,22.5,24.2,12.09588276
6.899690543,4.19141465,92.82504426,77.54337355,1,22.5,17.1,14.06814669
6.899690543,3.754829248,92.82504426,73.36162432,1,22.5,19.8,12.68950722
6.899690543,3.58604707,92.82504426,71.18619462,1,22.5,21.7,11.95092795
6.899690543,3.976707017,92.82504426,81.48809782,1,22.5,17.2,16.01091765
6.899690543,3.703891113,92.82504426,76.70791364,1,22.5,21.3,12.15361368
6.899690543,3.493683469,92.82504426,75.8282149,1,22.5,25.1,12.88654536
6.899690543,4.041689867,92.82504426,78.13100466,1,22.5,20.2,14.80421592
6.899690543,5.651857686,92.82504426,86.45453074,1,22.5,20.5,17.70519465
6.899690543,5.085227792,92.82504426,81.81033927,1,22.5,21.6,16.57128408
6.899690543,5.625850268,92.82504426,86.24086233,1,22.5,20.5,17.57279004
6.899690543,5.551866349,92.82504426,89.95222441,1,22.5,19,20.28865332
6.899690543,5.920752414,92.82504426,87.72663658,1,22.5,17,19.2959325
6.899690543,5.230767339,92.82504426,81.4035967,1,22.5,19.8,16.48155015
6.899690543,4.766921325,92.82504426,76.55255534,1,22.5,22.2,14.42394486
6.899690543,3.955155493,92.82504426,90.46133338,0,22.5,16.5,16.63695338
6.899690543,3.444669357,92.82504426,86.55978738,0,22.5,19.2,14.04717154
6.899690543,4.019285688,92.82504426,91.30799993,0,22.5,16.5,16.97754723
6.899690543,3.987798016,92.82504426,91.36515668,0,22.5,16.8,17.22483198
6.899690543,4.903126926,92.82504426,93.97948507,0,22.5,16.8,18.66068342
6.899690543,3.806125186,92.82504426,87.67059805,0,22.5,20.5,14.4426729
6.899690543,4.672073568,92.82504426,77.7617966,1,22.5,21.7,16.17871822
6.899690543,3.24620029,92.82504426,72.52249097,1,22.5,23.4,11.96923995
6.899690543,3.494217235,92.82504426,85.32874642,0,22.5,18,14.93206857
6.899690543,3.662683012,92.82504426,82.91905092,0,22.5,17.9,14.24625599
6.899690543,5.270059049,92.82504426,87.67119356,1,22.5,18.4,18.06509987
6.899690543,3.692917599,92.82504426,84.17732142,0,22.5,19.7,12.59973062
6.899690543,5.381574088,92.82504426,89.14133842,1,22.5,21.1,18.41090369
6.899690543,3.137113869,92.82504426,83.00167516,0,22.5,21.6,13.08217913
